,freq_center,freq_center_err,E,D,detect_red_first,data_indices,start_time,end_time
154,139413.75392225944,14.181414868434013,False,True,True,"[862161, 862162, 862163, 862164]",1720499467.2969105,1720499474.992054
155,139436.54163605243,14.041141582365718,False,False,True,"[862161, 862162, 862163, 862164]",1720499467.2969105,1720499474.992054
156,139505.94599381895,12.432291671581744,True,False,True,"[862165, 862166, 862167, 862168]",1720499474.9972308,1720499482.736908
157,139508.33083624492,12.230553758912928,True,True,True,"[862165, 862166, 862167, 862168]",1720499474.9972308,1720499482.736908
158,139531.19901293455,13.210987838953066,False,True,True,"[862169, 862170, 862171, 862172]",1720499482.7421858,1720499490.413917
159,139526.91544799012,12.971975716983938,False,False,True,"[862169, 862170, 862171, 862172]",1720499482.7421858,1720499490.413917
160,139386.95525644568,13.7697860105294,True,False,True,"[862173, 862174, 862175, 862176]",1720499490.4566336,1720499498.129467
161,139401.1728179359,13.143334588572253,True,True,True,"[862173, 862174, 862175, 862176]",1720499490.4566336,1720499498.129467
162,139421.82420322334,13.54068935887887,False,True,True,"[862177, 862178, 862179, 862180]",1720499498.1346343,1720499505.830056
163,139407.9279288061,13.156300354589899,False,False,True,"[862177, 862178, 862179, 862180]",1720499498.1346343,1720499505.830056
164,139336.03959969076,14.49355974076252,True,False,True,"[862181, 862182, 862183, 862184]",1720499505.8351598,1720499513.540806
165,139370.83857232708,14.589698608563676,True,True,True,"[862181, 862182, 862183, 862184]",1720499505.8351598,1720499513.540806
166,139436.0881149837,16.283758255716236,False,True,True,"[862185, 862186, 862187, 862188]",1720499513.5459158,1720499521.256622
167,139450.93802465554,15.728606435626117,False,False,True,"[862185, 862186, 862187, 862188]",1720499513.5459158,1720499521.256622
168,139660.44231186714,22.239072556357076,True,False,True,"[862189, 862190, 862191, 862192]",1720499521.2619896,1720499528.977002
169,139646.887416447,21.742059493435082,True,True,True,"[862189, 862190, 862191, 862192]",1720499521.2619896,1720499528.977002
170,139553.08805076883,14.090259248691305,False,True,True,"[862193, 862194, 862195, 862196]",1720499528.9826176,1720499536.652712
171,139564.1191744908,13.814312745242212,False,False,True,"[862193, 862194, 862195, 862196]",1720499528.9826176,1720499536.652712
172,139544.97370081733,15.029550479819763,True,False,True,"[862197, 862198, 862199, 862200]",1720499536.658025,1720499544.365157
173,139569.85032632842,15.010367433273757,True,True,True,"[862197, 862198, 862199, 862200]",1720499536.658025,1720499544.365157
174,139454.8847593789,15.876149519765791,False,True,True,"[862201, 862202, 862203, 862204]",1720499544.4042478,1720499552.080845
175,139469.38359835997,15.361669932109825,False,False,True,"[862201, 862202, 862203, 862204]",1720499544.4042478,1720499552.080845
176,139559.6276265617,18.713028965737237,True,False,True,"[862205, 862206, 862207, 862208]",1720499552.0861895,1720499559.789357
177,139552.01382452485,18.282466347453028,True,True,True,"[862205, 862206, 862207, 862208]",1720499552.0861895,1720499559.789357
178,139349.08874720882,16.184098521498413,False,True,True,"[862209, 862210, 862211, 862212]",1720499559.8261087,1720499567.500941
179,139369.0056075248,15.490633671869599,False,False,True,"[862209, 862210, 862211, 862212]",1720499559.8261087,1720499567.500941
180,139398.26824027864,15.50453593405272,True,False,True,"[862213, 862214, 862215, 862216]",1720499567.5064545,1720499575.191471
181,139397.52787479616,15.474006057607035,True,True,True,"[862213, 862214, 862215, 862216]",1720499567.5064545,1720499575.191471
182,139405.72229386802,19.481747941135676,False,True,True,"[862217, 862218, 862219, 862220]",1720499575.1966162,1720499582.882485
183,139448.82253420667,19.071490853545203,False,False,True,"[862217, 862218, 862219, 862220]",1720499575.1966162,1720499582.882485
184,139511.31835463256,19.194529731746208,True,False,True,"[862221, 862222, 862223, 862224]",1720499582.9213493,1720499590.626379
185,139524.2348185024,18.946705997258704,True,True,True,"[862221, 862222, 862223, 862224]",1720499582.9213493,1720499590.626379
186,139523.3488852711,13.24037880146817,False,True,True,"[862225, 862226, 862227, 862228]",1720499590.6315703,1720499598.342535
187,139512.32450936493,12.790274622097478,False,False,True,"[862225, 862226, 862227, 862228]",1720499590.6315703,1720499598.342535
188,139353.90040875514,16.975954425440783,True,False,True,"[862229, 862230, 862231, 862232]",1720499598.3478572,1720499606.047411
189,139367.0713771283,16.382544889133953,True,True,True,"[862229, 862230, 862231, 862232]",1720499598.3478572,1720499606.047411
190,139534.83609174448,15.98983824497916,False,True,True,"[862233, 862234, 862235, 862236]",1720499606.0525265,1720499613.721727
